GCA_000826245.1_Acanthamoeba_astronyxis	A.astronyxis (2015)
GCF_001184845.1_ViralProj289889	human papillomavirus 201 (HPV201 2015)
GCF_002827045.1_ASM282704v1	human papillomavirus 204 (A342 2018)
GCF_002987345.1_ASM298734v1	human papillomavirus 30 (2018)
GCF_000866505.1_ViralProj15511	human papillomavirus 5 (1993)
GCF_002826825.1_ASM282682v1	human papillomavirus 71 (2018)
GCF_000863685.1_ViralProj15456	human papillomavirus 9 (1993)
GCF_000989155.1_ViralProj283065	human papillomavirus KC5 (KC5 2015)
GCF_000864905.1_ViralProj15504	human papillomavirus type 10 (1993)
GCF_000889675.1_ViralProj62171	human papillomavirus type 128 (2011)
GCF_000891495.1_ViralProj62175	human papillomavirus type 129 (2011)
GCF_000890535.1_ViralProj62177	human papillomavirus type 131 (27-49 2011)
GCF_000897255.1_ViralProj167867	human papillomavirus type 137 (NJ2801H 2012)
GCF_000898255.1_ViralProj167869	human papillomavirus type 144 (CL3740 2012)
GCF_002006915.1_ViralProj376170	human papillomavirus type 156 (GC01 2017)
GCF_000863945.3_ViralProj15505	human papillomavirus type 16 (1993)
GCF_000866485.1_ViralProj15507	human papillomavirus type 26 (1993)
GCF_000864925.1_ViralProj15508	human papillomavirus type 32 (1993)
GCF_000863965.1_ViralProj15509	human papillomavirus type 34 (1993)
GCF_000862825.1_ViralProj15455	human papillomavirus type 49 (1993)
GCF_000865685.1_ViralProj15510	human papillomavirus type 53 (1993)
GCF_000864725.1_ViralProj15466	human papillomavirus type 54 (1995)
GCF_000865565.1_ViralProj15486	human papillomavirus type 63 (1993)
GCF_000861945.1_ViralProj15454	human papillomavirus type 6b (type 6b (HPV6b) 1985)
GCF_000861925.1_ViralProj15450	human papillomavirus type 7 (1993)
GCF_002153865.1_ViralProj387245	human papillomavirus type 85 (114B 2017)
GCF_000862685.1_ViralProj15424	human papillomavirus type 90 (2002)
GCF_000846285.1_ViralProj14406	human papillomavirus type 92 (2003)
GCF_000864825.1_ViralProj15488	human papillomavirus type 96 (2003)
GCF_000910675.1_ViralProj214365	human parainfluenza virus 4a (M-25 2013)
GCF_000861005.1_ViralProj15414	human parvovirus 4 G1 (2005)
GCF_001310135.2_ViralProj298087	human pegivirus 2 (UC0125.US 2015)
GCF_000859285.1_ViralMultiSegProj15248	human picobirnavirus (Hy005102 2005)
GCA_900576705.1_E_vermicularis_Canary_Islands_upd	human pinworm (2018)
GCA_008766755.1_ASM876675v1	human poliovirus strain (Sabin 1 2023)
GCF_000837865.1_ViralProj14074	human polyomavirus 1 (1993)
GCF_000873085.1_ViralProj19155	human polyomavirus 3 (Stockholm 60 2007)
GCF_000888495.1_ViralProj51559	human polyomavirus 6 (607a 2010)
GCF_000889175.1_ViralProj51557	human polyomavirus 7 (713a 2010)
GCF_000891615.1_ViralProj63123	human polyomavirus 9 (HPyV9 2011)
GCF_013087445.1_ASM1308744v1	human PoSCV5-like circular virus (MRJ 2023)
GCF_000848705.1_ViralProj14743	human respirovirus 1 (Washington 1964 2002)
GCF_006298365.1_ASM629836v1	human respirovirus 3 (ZHYMgz01 Guangzhou 2023)
GCF_002816885.1_ASM281688v1	human rhinovirus NAT001 (NAT001 2018)
GCF_000907835.1_ViralMultiSegProj209367	human rotavirus B (Bang373 2013)
GCF_000856445.1_ViralProj15004	human RSV respiratory syncytial virus A (S2 ts1C 2000)
GCF_000929235.1_ViralProj273530	human smacovirus 1 (France/12/2008/3454 2015)
GCF_002819605.1_ASM281960v1	human stool-associated circular virus NG13 (NG13 2018)
GCF_000863585.1_ViralProj15434	human T-cell leukemia virus type I (1998)
GCF_000847505.1_ViralProj14663	human T-lymphotropic virus 2 (1993)
GCF_000882595.1_ViralProj33481	human T-lymphotropic virus 4 (1863LE 2009)
GCF_000875265.1_ViralProj30053	human TMEV-like cardiovirus (2008)
GCA_000613005.1_TTRE2.1	human whipworm (2014)
GCF_002374975.1_ASM237497v1	Husavirus sp. (16370_59 2016)
GCF_000849945.1_ViralProj14653	I virus (Cowden 2000)
GCF_003443495.1_ASM344349v1	IAS virus (2020)
GCA_002888815.1_ASM288881v1	Igbo Ora virus (IBH10964 1998)
GCF_023195815.2_ASM2319581v2	Ignavigranum ruoffiae (CPL 242382-20 2022)
GCF_004789595.1_ASM478959v1	Ilesha virus (R5964 2019)
GCF_002146225.1_ViralMultiSegProj386357	Imjin virus (2017)
GCF_001939215.2_ViralProj360303	Indian encephalitis associated cyclovirus (IECSF08 2017)
GCF_001343785.1_ViralMultiSegProj274766	Influenza A virus (A/California/07/2009 2015)
GCF_000864105.1_ViralMultiSegProj15617	Influenza A virus (A/Goose/Guangdong/1/96H5N1 2005)
GCF_000851145.1_ViralMultiSegProj14892	Influenza A virus (A/Hong Kong/1073/99 2003)
GCF_000866645.1_ViralMultiSegProj15620	Influenza A virus (A/Korea/426/1968 2005)
GCF_000865085.1_ViralMultiSegProj15622	Influenza A virus (A/New York/392/2004 2005)
GCF_000865725.1_ViralMultiSegProj15521	Influenza A virus (A/Puerto Rico/8/1934 1982)
GCF_000928555.1_ViralMultiSegProj274585	Influenza A virus (A/Shanghai/02/2013 2015)
GCF_000820495.2_ViralMultiSegProj14656	Influenza B virus (B/Lee/1940 1993)
GCF_000856665.10_ViralMultiSegProj15055	Influenza C virus (C/Ann Arbor/1/50 2004)
GCF_002867775.1_ASM286777v1	Influenza D virus (D/swine/Oklahoma/1334/2011 2018)
GCF_900095155.1_BR141012304v1	inopinata (141012304 Brucella sp. 2016)
GCF_000906835.1_ViralProj194141	Isfahan virus (2013)
GCF_014883185.1_ASM1488318v1	Issyk-Kul virus (LEIV-315K 2023)
GCF_000862145.1_ViralProj15310	Japanese encephalitis virus (1993)
GCF_000863805.1_ViralProj15477	JC polyomavirus (Mad1 1993)
GCF_002117615.1_ViralMultiSegProj384971	Jeju virus (10-11 2017)
GCF_023156725.1_ASM2315672v1	Jos virus (2023)
GCF_023155475.1_ASM2315547v1	Kander virus (CH17 2023)
GCF_002288735.2_ViralMultiSegProj319069	Kasokero virus (Z-52963 2018)
GCF_002146025.1_ViralMultiSegProj386356	Kenkeme virus (Fuyuan-Sr-326 2017)
GCF_900475905.1_49595_E01	Kingella kingae (NCTC10529 2018)
GCF_048819275.1_ASM4881927v1	Klebsiella pneumoniae (342 2025)
GCA_022305115.1_PDT000186188.3	Klebsiella pneumoniae (MGH 78578 2022)
GCF_000240185.1_ASM24018v2	Klebsiella pneumoniae subsp. pneumoniae (HS11286 2011)
GCF_000009885.1_ASM988v1	Klebsiella pneumoniae subsp. pneumoniae (NTUH-K2044 2009)
GCF_000163455.1_ASM16345v1	Klebsiella pneumoniae subsp. rhinoscleromatis (ATCC 13884 2009)
GCA_004786635.1_ASM478663v1	Kunjin virus (MRM61C 2023)
GCF_002820625.1_ASM282062v1	Kyasanur Forest disease virus (2018)
GCF_000850965.1_ViralMultiSegProj14847	La Crosse virus (human/78 2002)
GCF_004789695.1_ASM478969v1	La Crosse virus (LACV/human/1960 2023)
GCF_006151905.1_ASM615190v1	Lacticaseibacillus rhamnosus (1.0320 2019)
GCF_016026695.1_ASM1602669v1	Lactococcus garvieae (FDAARGOS_929 2020)
GCA_031129775.1_ASM3112977v1	Lake Victoria marburgvirus - (Leiden 2011)
GCA_031121245.1_ASM3112124v1	Lake Victoria marburgvirus - Angola2005 (Ang1379c 2006)
GCA_031121995.1_ASM3112199v1	Lake Victoria marburgvirus - Ci67 (2007)
GCA_031121255.1_ASM3112125v1	Lake Victoria marburgvirus - DRC1999 (07DRC99 2006)
GCF_000860805.1_ViralProj15370	Langat virus (TP21 2000)
GCA_031319335.1_ASM3131933v1	Langya virus (SDQD_H1801 2022)
GCF_000851705.1_ViralMultiSegProj14864	Lassa mammarenavirus (Josiah 1998)
GCF_002118505.1_ViralProj385649	Le Dantec virus (DakHD763 2017)
GCF_002829425.1_ASM282942v1	Lebombo virus (SAAR 3896 2018)
GCF_041734345.1_NU_lpw_1.0	Legionella pneumophila (130b 2024)
GCF_001941585.1_ASM194158v1	Legionella pneumophila (Philadelphia-1 AE 2017)
GCF_000008485.1_ASM848v1	Legionella pneumophila subsp. pneumophila str. (Philadelphia 1 2004)
GCA_000444285.2_Leishmania_aethiopica-L147-2.0.3	Leishmania aethiopica (L147 2016)
GCA_000438535.1_LeiAma1.0	Leishmania amazonensis (2013)
GCA_025688915.1_ASM2568891v1	Leishmania amazonensis (PH8 2022)
GCA_000410695.2_Leishmania_arabica_LEM1108-1.0.3	Leishmania arabica (LEM1108 2016)
GCA_000340355.2_Leishmania_braziliensis_M2903-1.0.6	Leishmania braziliensis (MHOM/BR/75/M2903 2016 kinetoplastids)
GCF_000002845.2_ASM284v2	Leishmania braziliensis (MHOM/BR/75/M2904 2011 kinetoplastids)
GCA_900635355.2_LDHU3_new	Leishmania donovani (2020)
GCA_000470725.1_BHU1220	Leishmania donovani (BHU 1220 2013)
GCF_000227135.1_ASM22713v2	Leishmania donovani (BPK282A1 2011 kinetoplastids)
GCA_003719575.1_ASM371957v1	Leishmania donovani (LdCL 2018)
GCF_017916305.1_LU_Lenr_1.0	Leishmania enriettii (CUR178 2021 refseq)
GCA_000410755.2_Leishmania_enrietti_LEM3045-1.0.2	Leishmania enriettii (LEM3045 2016)
GCA_000443025.1_Leishmania_gerbilii_LEM452-1.0.2	Leishmania gerbilli (LEM452 2013)
GCA_900500625.2_LINF	Leishmania infantum (2020)
GCF_000002725.2_ASM272v2	Leishmania major (Friedlin 2011 kinetoplastids refseq)
GCA_916722125.1_LMJFC_annotationDEFINITIVO	Leishmania major strain (Friedlin 2021)
GCA_000331345.1_Leishmania_major_LV39c5-1.0.1	Leishmania major strain (LV39c5 2013)
GCA_000250755.2_Leishmania_major_SD_75.1-1.1.1	Leishmania major strain (SD 75.1 2012)
GCF_017916325.1_LU_Lmar_1.0	Leishmania martiniquensis (LSCM1 2021 refseq)
GCF_000234665.1_ASM23466v4	Leishmania mexicana (MHOM/GT/2001/U1103 2011 kinetoplastids)
GCF_017916335.1_LU_Lori_1.0	Leishmania orientalis (LSCM4 2021 refseq)
GCA_000340495.1_Leishmania_panamensis_L13-1.3.1	Leishmania panamensis (MHOM/COL/81/L13 2013)
GCF_000755165.1_ASM75516v1	Leishmania panamensis (MHOM/PA/94/PSC-1 2014 kinetoplastids)
GCF_017918215.1_LU_Lgha_1.0	Leishmania sp. Ghana 2012 LV757 (GH5 2021 refseq)
GCA_000409445.2_Leishmania_MAR_LEM2494-1.0.3	Leishmania sp. MAR (LEM2494 2016)
GCF_017918225.1_LU_LNam_1.0	Leishmania sp. Namibia (253 2021 refseq)
GCA_009731335.1_Lta_assembly01	Leishmania tarentolae (Parrot Tar II 2019)
GCA_000410715.1_Leishmania_tropica_L590-2.0.2	Leishmania tropica (L590 2013)
GCA_000441995.1_Leishmania_turanica_LEM423-1.0.2	Leishmania turanica (LEM423 2013)
GCF_001293395.1_ASM129339v1	Leptomonas pyrrhocoris (H10 2015 kinetoplastids)
GCA_001299535.1_ASM129953v1	Leptomonas seymouri (ATCC 30220 2015)
GCF_016918735.1_ASM1691873v1	Leptospira abararensis (201903074 2021)
GCF_002811985.1_ASM281198v1	Leptospira adleri (FH2-B-D1 2017)
GCF_016918785.1_ASM1691878v1	Leptospira ainazelensis (201903071 2021)
GCF_016919175.1_ASM1691917v1	Leptospira ainlahdjerensis (201903070 2021)
GCF_000243815.2_gls454062v02	Leptospira alexanderi serovar Manhao 3 str. (L 60 2013)
GCF_000347175.1_gls454194v01	Leptospira alstonii serovar Sichuan str. (79601 2013)
GCF_004770105.1_ASM477010v1	Leptospira andrefontaineae (201800301 2019)
GCF_004770555.1_ASM477055v1	Leptospira bandrabouensis (201601109 2019)
GCF_002811925.1_ASM281192v1	Leptospira barantonii (FH4-C-A1 2017)
GCF_000017685.1_ASM1768v1	Leptospira biflexa serovar strain 'Patoc (Patoc 1 Paris 2008)
GCF_003516145.1_ASM351614v1	Leptospira borgpetersenii serovar Ceylonica (Piyasena 2018)
GCF_004770145.1_ASM477014v1	Leptospira bourretii (201800267 2019)
GCF_004770625.1_ASM477062v1	Leptospira bouyouniensis (201800295 2019)
GCF_004769295.1_ASM476929v1	Leptospira brenneri (201800277 2019)
GCF_000243715.2_gls454050v02	Leptospira broomii serovar Hurstbridge str. (5399 2013)
GCF_016919165.1_ASM1691916v1	Leptospira chreensis (201903075 2021)
GCF_040833995.1_ASM4083399v1	Leptospira cinconiae (WS58.C1 2024)
GCF_004770265.1_ASM477026v1	Leptospira congkakensis (201702421 2019)
GCF_004770895.1_ASM477089v1	Leptospira dzoumogneensis (201601113 2019)
GCF_003114815.1_ASM311481v1	Leptospira ellinghausenii (E18 2018)
GCF_000306235.2_gls454058v2.0	Leptospira fainei serovar Hurstbridge str. (BUT 6 2013)
GCF_004769195.1_ASM476919v1	Leptospira fletcheri (SSW15 2019)
GCF_004771275.1_ASM477127v1	Leptospira fluminis (SCS5 2019)
GCF_004770155.1_ASM477015v1	Leptospira gomenensis (201800299 2019)
GCF_002812225.1_ASM281222v1	Leptospira haakeii (ATI7-C-A2 2017)
GCF_002811945.1_ASM281194v1	Leptospira harrisiae (FH2-B-A1 2017)
GCF_002811475.1_ASM281147v1	Leptospira hartskeerlii (MCA2-B-A3 2017)
GCF_004770995.1_ASM477099v1	Leptospira idonii (201300427 2019)
GCF_004771005.1_ASM477100v1	Leptospira ilyithenensis (201400974 2019)
GCF_000243675.2_gls454047v02	Leptospira inadai serovar Lyme str. (10 2013)
GCF_002073495.2_ASM207349v2	Leptospira interrogans serovar Copenhageni (FDAARGOS_203 2018)
GCF_004769775.1_ASM476977v1	Leptospira jelokensis (201702419 2019)
GCF_003112675.1_ASM311267v1	Leptospira johnsonii (E8 2018)
GCF_004769235.1_ASM476923v1	Leptospira kanakyensis (201800292 2019)
GCF_004769665.1_ASM476966v1	Leptospira kemamanensis (201702454 2019)
GCF_000243695.2_gls454049v02	Leptospira kirschneri serovar Cynopteri str. (3522 CT 2013)
GCF_003722295.1_ASM372229v1	Leptospira kmetyi (LS 001/16 2018)
GCF_003114835.2_ASM311483v3	Leptospira kobayashii (E30 2021)
GCF_004769555.1_ASM476955v1	Leptospira koniambonensis (201800265 2019)
GCF_004770615.1_ASM477061v1	Leptospira langatensis (SSW18 2019)
GCF_002812085.1_ASM281208v1	Leptospira levettii (MCA2-B-A1 2017)
GCF_000526875.1_ASM52687v1	Leptospira licerasiae (ATCC BAA-1110 2014)
GCF_026151395.1_ASM2615139v1	Leptospira limi (VSF25 2022)
GCF_000306675.2_ASM30667v3	Leptospira mayottensis (200901116 2018)
GCF_004368965.1_ASM436896v1	Leptospira meyeri (DSM 21537 2019)
GCF_004770045.1_ASM477004v1	Leptospira montravelensis (201800278 2019)
GCF_004770475.1_ASM477047v1	Leptospira mtsangambouensis (201601298 2019)
GCF_002812205.1_ASM281220v1	Leptospira neocaledonica (ES4-C-A1 2017)
GCF_000306255.2_gls454059v02	Leptospira noguchii serovar Panama str. (CZ214 2013)
GCF_004770765.1_ASM477076v1	Leptospira noumeaensis (201800287 2019)
GCF_004770745.1_ASM477074v1	Leptospira ognonensis (201702476 2019)
GCF_026151345.1_ASM2615134v1	Leptospira paudalimensis (VSF14 2022)
GCF_004769575.1_ASM476957v1	Leptospira perdikensis (201702692 2019)
GCF_002811875.1_ASM281187v1	Leptospira perolatii (FH1-B-B1 2017)
GCF_003114855.1_ASM311485v1	Leptospira ryugenii (YH101 2018)
GCF_002811765.1_ASM281176v1	Leptospira saintgironsiae (FH4-C-A2 2017)
GCF_022267325.1_ASM2226732v1	Leptospira sanjuanensis (LGVF02 2022)
GCF_000313175.2_ASM31317v2	Leptospira santarosai serovar Shermani str. (LT 821 2014)
GCF_004769615.1_ASM476961v1	Leptospira sarikeiensis (201702455 2019)
GCF_004769405.1_ASM476940v1	Leptospira selangorensis (SSW17 2019)
GCF_004770055.1_ASM477005v1	Leptospira semungkisensis (SSS9 2019)
GCF_026151335.1_ASM2615133v1	Leptospira soteropolitanensis (VSF16 2022)
GCF_002811955.2_ASM281195v2	Leptospira sp. patho 1 (ATI7-C-A5 2023)
GCF_003545875.1_ASM354587v1	Leptospira stimsonii (AMB6-RJ 2018)
GCF_000332495.1_gls454203v02	Leptospira terpstrae serovar Hualin str. ATCC 700639 (LT 11-33 2013)
GCF_001729245.1_ASM172924v1	Leptospira tipperaryensis (GWTS#1 2016)
GCF_004770365.1_ASM477036v1	Leptospira vanthielii (201601955 2019)
GCF_002150035.1_ASM215003v1	Leptospira venezuelensis (CLM-U50 2017)
GCF_006874765.1_ASM687476v1	Leptospira weilii (CUDO6 2019)
GCF_000332515.2_gls454195v02	Leptospira wolbachii serovar Codice str. (CDC 2013)
GCF_004770635.1_ASM477063v1	Leptospira wolffii (201800291 2019)
GCF_004769275.1_ASM476927v1	Leptospira yanagawae (201800272 2019)
GCF_003545925.1_ASM354592v1	Leptospira yasudae (F1 2018)
GCF_004359215.1_BlacSF5v2	lettuce downy mildew (SF5 2021 refseq)
GCF_000014445.1_ASM1444v1	Leuconostoc mesenteroides subsp. mesenteroides (ATCC 8293 2006)
GCF_002080215.1_ViralProj381649	LI polyomavirus (LIPyV 2017)
GCF_000196035.1_ASM19603v1	Listeria monocytogenes (EGD-e 2003)
GCA_002763495.2_F_hepatica_1.0.allpaths.pg	liver fluke (2019)
GCA_948099385.2_Fh240107Braker	liver fluke (2024)
GCA_013339765.2_BIME_HaeL_1.3	longhorned tick (HaeL-2018 2020)
GCF_000863165.1_ViralProj15343	Louping ill virus (369/T2 1997)
GCF_000181575.2_ASM18157v2	Lyme disease spirochete (Bol26 2009)
GCF_000851025.1_ViralMultiSegProj14862	Lymphocytic choriomeningitis mammarenavirus (Armstrong 53b 1993)
GCA_902651635.1_mastiga_genome_v5.1	M.balamuthi (2019)
GCF_001643675.1_ASM164367v2	M.exilis (PA203 2021 refseq)
GCF_000892835.1_ViralProj68287	Macaca fascicularis papillomavirus 2 (Mac191 2011)
GCF_004134585.1_ASM413458v1	Macaca mulatta papillomavirus 6 (PM084S3_c170482 2019)
GCF_000853725.1_ViralMultiSegProj14931	Machupo mammarenavirus (Carvallo 2003)
GCF_000917835.1_ViralProj242273	Madariaga virus (MADV/Cebus apella/BRA/BEAN5122/1956 2014)
GCF_002888955.1_ASM288895v1	Madariaga virus (PE-3.0815 2023)
GCF_002118405.1_ViralMultiSegProj385629	Madrid virus (BT4075 2017)
GCA_003313135.1_ASM331313v1	maitake (MG88 2018)
GCA_041464085.1_ASM4146408v1	maitake (SiL91 2024)
GCA_009761555.1_7G8_v1	malaria parasite P. falciparum (7G8 2019)
GCA_900632035.1_PfGB4-3	malaria parasite P. falciparum (GB4 2018)
GCA_900631985.1_PfHB3-3	malaria parasite P. falciparum (HB3 2018)
GCA_900632025.1_PfKH01-3	malaria parasite P. falciparum (KH1 2018)
GCA_900632015.1_PfKH02-3	malaria parasite P. falciparum (KH2 2018)
GCA_009761425.1_NF135.C10_v1	malaria parasite P. falciparum (NF135.C10 2019)
GCA_009761515.1_NF166_v1	malaria parasite P. falciparum (NF166 2019)
GCA_009761475.1_NF54_v1	malaria parasite P. falciparum (NF54 2019)
GCA_900617135.1_PfCD01-2	malaria parasite P. falciparum (PfCD01-2 2018)
GCA_900632045.1_PfDd2-3	malaria parasite P. falciparum (PfDd2-3 2018)
GCA_900632005.1_PfGA01-3	malaria parasite P. falciparum (PfGA01-3 2018)
GCA_900631995.1_PfGN01-3	malaria parasite P. falciparum (PfGN01-3 2018)
GCA_900631975.1_PfKE01-3	malaria parasite P. falciparum (PfKE01-3 2018)
GCA_900632085.1_PfML01-3	malaria parasite P. falciparum (PfML01-3 2018)
GCA_900632095.1_PfSD01-3	malaria parasite P. falciparum (PfSD01-3 2018)
GCA_900632075.1_PfSN01-3	malaria parasite P. falciparum (PfSN01-3 2018)
GCA_900632065.1_PfTG01-3	malaria parasite P. falciparum (PfTG01-3 2018)
GCA_900632055.1_PfIT-3	malaria parasite P. falciparum (type strain: I 2018)
GCF_000002765.5_GCA_000002765	malaria parasite P. falciparum (v5 3D7 2016 refseq)
GCF_000002765.6_GCA_000002765	malaria parasite P. falciparum (v6 3D7 2016)
GCA_900090035.2_PocGH01	malaria parasite P. ovale (PocGH01 2016)
GCA_900090025.2_PowCR01	malaria parasite P. ovale (PowCR01 2016)
GCA_949152365.1_PVPAM	malaria parasite P. vivax (Pv01-19 2023)
GCA_900093555.2_GCA_900093555	malaria parasite P. vivax (PvP01 2019)
GCF_000002415.2_ASM241v2	malaria parasite P. vivax (PvSal1 Salvador I 2009)
GCA_003402215.1_PvSY56_v1	malaria parasite P. vivax (PvSY56 2018)
GCA_914969965.1_5987STDY8548200	malaria parasite P. vivax (PvW1 2021)
GCF_013086435.1_ASM1308643v1	Maldonado virus (FMD 0077 2021)
GCF_001736695.1_ViralProj343484	Mamastrovirus 1 (V1347 2016)
GCF_000924315.1_ViralMultiSegProj262089	Mammalian orthoreovirus 3 (MPC/04 2009)
GCF_006298385.1_ASM629838v1	Mammalian orthoreovirus 3 (T3D Dearing 2023)
GCF_000879235.1_ViralMultiSegProj29223	Mammarenavirus chapareense (810419 2008)
GCF_004789475.1_ASM478947v1	Mammarenavirus choriomeningitidis (Armstrong 53b 2023)
GCF_000853765.1_ViralMultiSegProj14939	Mammarenavirus guanaritoense (INH-95551 2003)
GCA_900094045.1_LASV_isolate_Alzey	Mammarenavirus lassaense (Alzey 2016)
GCF_000885555.1_ViralMultiSegProj38405	Mammarenavirus lujoense (2009)
GCF_002145825.3_ASM214582v3	Maporal virus (HV 97021050 2017)
GCF_000857325.2_ViralProj15199	Marburg marburgvirus (Marburg virus/H.sapiens-tc/KEN/1980/Mt. Elgon-Musoke 1994)
GCA_000857325.3_ViralProj15199	Marburg virus - Musoke, Kenya, 1980 (Musoke 2024)
GCF_004130475.1_ASM413047v1	Marmot norovirus (HT16 2019)
GCF_000863385.1_ViralProj15392	Mayaro virus (2002)
GCF_000854845.1_ViralProj15025	Measles morbillivirus (Ichinose-B95a 1998)
GCF_002815295.1_ASM281529v1	Menangle virus (Australia/bat/2009/Cedar Grove 2018)
GCF_000874865.1_ViralProj28509	Merkel cell polyomavirus (R17b 2008)
GCF_912073625.1_PRJEB46774	Methanobrevibacter oralis (YH 2021)
GCF_000016525.1_ASM1652v1	Methanobrevibacter smithii 35061 (ATCC 35061; PS; DSMZ 861 2007)
GCA_000385855.2_Annc_alge_PRA109_V4	microsporidians A.algerae (PRA109 2014)
GCA_000385875.2_Annc_alge_insect_USDA_JJB_V2	microsporidians A.algerae (PRA339 2014)
GCA_000313815.1_ASM31381v1	microsporidians A.algerae (Undeen 2012)
GCA_014805555.1_ASM1480555v1	microsporidians A.contejeani (T1 2020)
GCA_007674295.1_ASM767429v1	microsporidians A.locustae (CLX 2019)
GCA_001875675.1_ASM187567v1	microsporidians A.sp. (WSBS2006 2016)
GCA_014805705.1_ASM1480570v1	microsporidians C.dikerogammari (Dv6 2020)
GCA_016256075.1_ASM1625607v1	microsporidians D.muelleri (Ou54 2020)
GCA_016255985.1_ASM1625598v1	microsporidians D.roeselum (Ou19 2020)
GCA_000230595.3_Edha_aedis_V4b	microsporidians E.aedis (USNM 41457 2015)
GCA_000209485.1_ASM20948v1	microsporidians E.bieneusi (H348 2009 genbank)
GCF_000209485.1_ASM20948v1	microsporidians E.bieneusi (H348 2009 refseq)
GCA_024243835.1_ebre_JUm2551	microsporidians E.breve (JUm2551 2022)
GCA_002087915.1_ASM208791v1	microsporidians E.canceri (GB1 2017)
GCA_027571585.1_ASM2757158v1	microsporidians E.cuniculi (ATCC 50602 2023)
GCA_000221285.2_Ence_cuni_EC1_V1	microsporidians E.cuniculi (EC1 2011)
GCA_000221265.2_Ence_cuni_EC2_V1	microsporidians E.cuniculi (EC2 2011)
GCA_000221245.2_Ence_cuni_EC3_V1	microsporidians E.cuniculi (EC3 2011)
GCA_001078035.1_ECIIIL	microsporidians E.cuniculi (EcunIII-L 2015)
GCA_000091225.2_ASM9122v2	microsporidians E.cuniculi (GB-M1 2017)
GCF_000091225.2_ASM9122v2	microsporidians E.cuniculi (v2 GB-M1 2017)
GCA_029215505.1_ASM2921550v1	microsporidians E.hellem (ATCC 50451 2023)
GCA_000277815.3_ASM27781v3	microsporidians E.hellem (ATCC 50504 2012)
GCA_024399255.1_ASM2439925v1	microsporidians E.hellem (ATCC 50604 2022)
GCA_018342045.1_Swiss_hellem_version_1	microsporidians E.hellem (Swiss 2021)
GCF_000277815.2_ASM27781v3	microsporidians E.hellem ATCC 50504
GCA_038502045.1_ASM3850204v1	microsporidians E.hepatopenaei (21-079B1 2024)
GCA_003709115.1_ASM370911v1	microsporidians E.hepatopenaei (EHP-ID16 2018)
GCA_002081675.1_ASM208167v1	microsporidians E.hepatopenaei (TH1 2017)
GCA_000146465.1_ASM14646v1	microsporidians E.intestinalis (ATCC 50506 2010)
GCA_024399295.1_ASM2439929v1	microsporidians E.intestinalis (ATCC 50506 2022)
GCA_051312775.1_ASM5131277v1	microsporidians E.intestinalis (ATCC 50507 2025)
GCA_051312795.1_ASM5131279v1	microsporidians E.intestinalis (ATCC 50603 2025)
GCA_051312815.1_ASM5131281v1	microsporidians E.intestinalis (ATCC 50651 2025)
GCF_000146465.1_ASM14646v1	microsporidians E.intestinalis ATCC 50506
GCA_000280035.2_ASM28003v2	microsporidians E.romaleae (SJ-2008 2012)
GCF_000280035.1_ASM28003v2	microsporidians E.romaleae SJ-2008
GCA_002087875.1_ASM208787v1	microsporidians H.eriocheir (canceri 2017)
GCA_002087885.1_ASM208788v1	microsporidians H.eriocheir (GB1 2017)
GCA_004325065.1_BEOM2_v1	microsporidians H.magnivora (BE-OM-2 2019)
GCA_004325035.1_ASM432503v1	microsporidians H.magnivora (IL-BN-2 2019)
GCA_004325045.1_FIOER33_v1	microsporidians H.tvaerminnensis (FI-OER-3-3 2019)
GCA_022605425.2_FIOER33_v3	microsporidians H.tvaerminnensis (FI-OER-3-3 2023)
GCA_004325075.1_ILG3_v1	microsporidians H.tvaerminnensis (IL-G-3 2019)
GCF_000760515.2_UGP1.1	microsporidians M.daphniae
GCA_032191455.1_ICIPE_MspMB_1.0	microsporidians M.sp. MB (AHL03 2023)
GCA_049634765.1_KEMRI_ICIPE_Tes0708gam	microsporidians M.sp. MB (BSAL01234 2025)
GCA_049634785.1_KEMRI_ICIPE_Tes094gam	microsporidians M.sp. MB (BSALO12345 2025)
GCA_050230985.1_KEMRI_ICIPE_ABN394	microsporidians M.sp. MB (BUSABN394_1.0 2025)
GCA_000250695.1_Nema_parisii_ERTm2_V1	microsporidians N.ausubeli (ERTm2 2012)
GCA_000738915.1_Nema_sp_1_ERTm6_V2	microsporidians N.ausubeli (ERTm6 2014 genbank)
GCF_000738915.1_Nema_sp_1_ERTm6_V2	microsporidians N.ausubeli (ERTm6 2014 refseq)
GCA_024243925.1_naus_JUm2520	microsporidians N.ausubeli (JUm2520 2022)
GCA_024243895.1_naus_JUm2796	microsporidians N.ausubeli (JUm2796 2022)
GCA_024243705.1_naus_LUAm26	microsporidians N.ausubeli (LUAm26 2022)
GCA_024243685.1_naus_LUAm27	microsporidians N.ausubeli (LUAm27 2022)
GCA_024243815.1_naus_LUAm28	microsporidians N.ausubeli (LUAm28 2022)
GCA_000383075.1_NosBomCQ1_v1.0	microsporidians N.bombycis (CQ1 2013)
GCF_000988165.1_ASM98816v1	microsporidians N.ceranae
GCF_000182985.1_ASM18298v1	microsporidians N.ceranae (BRL01 2009 refseq)
GCA_049996435.1_ASM4999643v1	microsporidians N.cyclopteri (Lamicii 2025)
GCA_001642395.1_ASM164239v1	microsporidians N.displodere (JUm2807 2016 genbank)
